Frequency [kHz],Power [dbm]
842404,-151.15625327883072
842408,-132.3698343449251
842412,-141.4194525880058
842416,-142.48061683543236
842420,-146.72826094123923
842424,-137.6555315285263
842428,-147.28502034883746
842432,-138.4024516841874
842436,-133.39687301061952
842440,-147.62695021518866
842444,-143.41402789061382
842448,-141.727908141383
842452,-133.04276632395928
842456,-141.58653212633027
842460,-136.95532494528442
842464,-135.13860321111088
842468,-140.15543245184995
842472,-136.12001755795438
842476,-141.68810530735743
842480,-138.67449956893813
842484,-132.5407409497255
842488,-139.36822289831696
842492,-127.44261015295776
842496,-141.42775552143257
842500,-134.3204860394116
842504,-133.7986108027664
842508,-142.08783106395296
842512,-134.0699391806069
842516,-132.42159349545534
842520,-143.9250715987116
842524,-140.8481774549742
842528,-145.89389204752018
842532,-137.66729616940677
842536,-139.67209256025268
842540,-135.36776536080208
842544,-141.15891797467648
842548,-139.56842067821336
842552,-135.61469546759997
842556,-135.04630049024559
842560,-138.3793698835735
842564,-147.28130006093954
842568,-136.0645224900881
842572,-136.06182024503792
842576,-146.80847894051783
842580,-129.59437136989274
842584,-143.41324722377067
842588,-146.60181087431982
842592,-135.11106007069452
842596,-138.94353533234624
842600,-146.35620357199244
842604,-135.15427374875907
842608,-133.83225327617313
842612,-137.1072715278735
842616,-147.3188324597443
842620,-138.88267907674097
842624,-142.8051758097772
842628,-142.84143435894347
842632,-150.27548838911844
842636,-132.53347568920384
842640,-150.46952319029918
842644,-142.75948007664266
842648,-143.15362645798342
842652,-131.30689971459574
842656,-130.274022527647
842660,-136.7935960809611
842664,-140.5863111925851
842668,-145.4879905421872
842672,-140.7232499340608
842676,-137.78376542145077
842680,-138.80224312175613
842684,-133.48716792622704
842688,-131.63370915818834
842692,-140.3236267165192
842696,-136.12208307837295
842700,-136.8259789916482
842704,-137.37323312979632
842708,-138.56532082801039
842712,-144.9296645409155
842716,-149.12171896059988
842720,-138.73877946891852
842724,-136.60929388833532
842728,-132.58173032286874
842732,-133.61342881652521
842736,-141.6588160741938
842740,-139.54554059946557
842744,-144.71864892942864
842748,-132.27716682494932
842752,-132.6216974841123
842756,-152.93298181345207
842760,-142.73776259434203
842764,-136.34729967600177
842768,-139.44789235938205
842772,-135.43124109994056
842776,-136.3363328070784
842780,-130.92255395502917
842784,-142.12631675128446
842788,-134.0661350378706
842792,-133.17485206934674
842796,-146.8100776896753
842800,-140.79236390325786
842804,-145.27213968252494
842808,-137.9740488094934
842812,-143.64698535989166
842816,-139.77359438927928
842820,-145.5908976386121
842824,-150.34607156503805
842828,-139.2088854159884
842832,-139.26182026389313
842836,-146.85535471454455
842840,-141.57977699155617
842844,-136.43208142330144
842848,-153.7225651112514
842852,-147.9996756156793
842856,-137.7397565524622
842860,-140.0713902519978
842864,-140.51269438904575
842868,-151.8893507531457
842872,-139.6728922277542
842876,-143.6269382458566
842880,-136.77303219262302
842884,-139.17586905056243
842888,-141.72277550472927
842892,-135.85615144433677
842896,-136.44687830730174
842900,-134.39139211135912
842904,-137.78176582778042
842908,-134.9283605091818
842912,-136.35270761992214
842916,-135.09070808869828
842920,-134.73886793530355
842924,-130.3710812371122
842928,-136.0030590396347
842932,-134.20552147443206
842936,-131.09394658770358
842940,-143.97939176453053
842944,-150.01640143305747
842948,-131.6299315708349
842952,-137.84624400621604
842956,-140.20205532773127
842960,-144.2981015003457
842964,-135.24303353384778
842968,-139.42502066466827
842972,-136.3982006804127
842976,-136.90549938450405
842980,-136.5636317518435
842984,-134.34523812954967
842988,-131.26304635571697
842992,-135.57147264354717
842996,-132.9974411477432
843000,-132.60989824381545
843004,-134.48698169029382
843008,-139.3552638827995
843012,-145.52600344416393
843016,-136.41195965761943
843020,-145.5712583662751
843024,-146.24000534775308
843028,-137.98806237841146
843032,-137.713309027079
843036,-134.35985282824885
843040,-132.71284230852035
843044,-141.9998930919851
843048,-139.01717875941128
843052,-137.17234316231753
843056,-150.41782558123336
843060,-135.33792116378132
843064,-144.98394139588024
843068,-139.4524683107237
843072,-145.3664007994243
843076,-149.63088397740873
843080,-137.8923966005461
843084,-140.49640081089535
843088,-138.74378042897476
843092,-136.76552538934308
843096,-139.00751024764327
843100,-138.03277889131425
843104,-140.3678152117453
843108,-132.24362593659652
843112,-143.9270416918261
843116,-130.75495267849487
843120,-129.24352892468457
