Frequency [kHz],Power [dbm]
846644,-113.51289975489766
846648,-119.17571155149179
846652,-117.62176452437362
846656,-112.82578026611033
846660,-134.46493635720236
846664,-122.12830048367358
846668,-119.17816074991838
846672,-124.52236959576265
846676,-121.71658763390593
846680,-125.5598869310663
846684,-118.16620457657436
846688,-121.54186475904629
846692,-119.97767168736617
846696,-124.46434780373596
846700,-122.35719833262392
846704,-135.5618890833305
846708,-132.06016998897042
846712,-134.84672476599587
846716,-130.60774568468085
846720,-123.73682064433413
846724,-124.5957031348718
846728,-115.93067551649028
846732,-116.05082094341927
846736,-117.39806262686368
846740,-122.24691952335644
846744,-124.6872924142607
846748,-123.60831700465943
846752,-128.5289424590566
846756,-124.96461509402683
846760,-117.37323674534869
846764,-121.74864709466826
846768,-121.45611266125849
846772,-122.68276159917023
846776,-118.4011328813739
846780,-126.97389432622573
846784,-128.39792223104746
846788,-117.87570221684089
846792,-117.14440595733448
846796,-118.74825896730127
846800,-121.81491041759023
846804,-122.10375624253057
846808,-123.69724673211665
846812,-118.46584628264804
846816,-121.56292385269465
846820,-117.72266535891454
846824,-118.75887864972765
846828,-126.22299675840068
846832,-118.5933278072859
846836,-114.82727763413874
846840,-122.71293874678442
846844,-117.91653733996239
846848,-112.99263906688509
846852,-124.34150588588173
846856,-124.95891705870753
846860,-123.72590080955567
846864,-116.77371524499294
846868,-118.73002977779413
846872,-121.15154335280234
846876,-123.30194586204881
846880,-116.50890820897541
846884,-120.51450906432095
846888,-127.81199405609516
846892,-114.49530276834072
846896,-124.62861263973369
846900,-122.13564231679291
846904,-116.00042126217859
846908,-114.41509800699828
846912,-117.648287536509
846916,-123.12453350469065
846920,-117.50810748133428
846924,-120.50661099586335
846928,-126.04974208707893
846932,-111.63987282108808
846936,-127.68915081125178
846940,-112.7465821079304
846944,-123.69283404947319
846948,-123.27456940356079
846952,-115.19373358760942
846956,-124.5657324163309
846960,-121.1283746248039
846964,-113.44563849634824
846968,-115.46650531982061
846972,-121.71398265717959
846976,-118.42375105686457
846980,-114.17680669838364
846984,-115.95616549281465
846988,-129.84480969547246
846992,-119.11230856373929
846996,-120.08595205752451
847000,-120.44720381484086
847004,-124.00781815519574
847008,-127.7928560881369
847012,-125.06812338429377
847016,-125.43530375836248
847020,-122.89092843091012
847024,-122.7592775588069
847028,-119.60629282779466
847032,-116.59339231389615
847036,-119.71847046947022
847040,-118.96086458365878
847044,-127.7593155262988
847048,-113.36260642902975
847052,-115.01420043778549
847056,-120.7127157511516
847060,-116.80734599290776
847064,-115.35553878385946
847068,-128.4115498510611
847072,-113.2389858516093
847076,-114.82151165753739
847080,-116.54862722097472
847084,-127.538623644751
847088,-122.40234867445848
847092,-115.22069581450467
847096,-121.40897325128566
847100,-126.77149649473454
847104,-126.92829969546915
847108,-119.3762857938232
847112,-127.14613734374049
847116,-115.6396692326947
847120,-118.58121743696921
847124,-119.22432500358228
847128,-116.6519677227313
847132,-122.4054995811555
847136,-120.60462889418477
847140,-121.10588519739966
847144,-117.7226839018426
847148,-117.2929368071926
847152,-117.91169843904702
847156,-118.46938536208896
847160,-125.97877147577714
847164,-120.51790466888488
847168,-124.12115143357013
847172,-118.72456828872127
847176,-127.5000804447037
847180,-117.94085472168872
847184,-127.79102460952856
847188,-129.8800607845221
847192,-117.5441970556201
847196,-129.156537013758
847200,-119.87785414144415
847204,-126.01293291588493
847208,-116.64635708204334
847212,-120.16724100685656
847216,-114.62077700785713
847220,-120.15094573799146
847224,-120.8085666859792
847228,-122.90393830855604
847232,-117.21445194456453
847236,-115.76695595595496
847240,-115.37824882323915
847244,-120.14524634148876
847248,-122.78004203934978
847252,-113.98692701060686
847256,-122.13253210659448
847260,-113.40356774371165
847264,-125.35807496279456
847268,-120.08544348855426
847272,-122.80066700066513
847276,-123.1908239218472
847280,-131.59784730775354
847284,-123.15079212380319
847288,-122.27610040438636
847292,-119.6987462393219
847296,-127.38455067451002
847300,-119.98362363876761
847304,-116.82919055490532
847308,-131.96649033333972
847312,-124.53992075798527
847316,-120.4672205258194
847320,-115.12467777735041
847324,-120.9650477005675
847328,-118.07693216409409
847332,-116.78042423563363
847336,-121.6417794927542
847340,-125.82201080281213
847344,-126.38109831010561
847348,-122.64573803836527
847352,-117.18536577559388
847356,-113.72336265872906
847360,-118.58248256477842
847364,-123.31070009016003
847368,-118.10193044218079
847372,-118.8833186076732
847376,-127.11849822276446
847380,-116.39694940296033
847384,-127.89496581545185
847388,-123.67393867328143
847392,-119.75193791593604
847396,-126.31592979934895
847400,-124.166355963772
847404,-121.90434551570613
847408,-124.66328017611778
847412,-120.46497525940259
847416,-114.814853977288
847420,-123.8879549977986
847424,-122.23118585141472
847428,-117.12289528515882
847432,-116.43675697567231
847436,-122.40250640115465
847440,-118.88265705136867
847444,-119.08014854110684
847448,-124.55925499770369
847452,-127.05641578732124
847456,-117.61024589830336
847460,-129.0590706187205
847464,-119.9128218937768
847468,-122.21389617542665
847472,-133.3668729740279
847476,-129.51869542986887
847480,-128.35020917935404
847484,-110.90536248779453
847488,-116.18460762495516
847492,-121.5301515454784
847496,-125.19822723919759
847500,-122.63080584262623
847504,-132.92854776168602
847508,-116.86084744188427
847512,-123.90908454403478
847516,-121.60350081078143
847520,-126.16842419198883
847524,-126.30130863330743
847528,-122.91172116627838
847532,-116.14928583284559
847536,-119.70105292345794
847540,-117.9858468427918
847544,-117.31354691155056
847548,-112.8316899500116
847552,-117.07014660400824
847556,-113.85667654790178
847560,-132.683207957648
847564,-116.78206784296722
847568,-134.87358719303117
847572,-121.42542208150516
847576,-118.78169276811828
847580,-123.50373276980437
847584,-118.07716871623572
847588,-118.96766729068905
847592,-122.30767394887133
847596,-118.04912580779056
847600,-119.78994907380124
847604,-120.80455491995528
847608,-121.70355368120471
847612,-122.21194044887291
847616,-125.30789022170558
847620,-128.02868020172946
847624,-121.67566126957766
847628,-118.58294351826221
847632,-115.53301378582913
847636,-127.23478553453455
847640,-122.17549504861915
847644,-114.5419550178214
847648,-123.25407406763287
847652,-121.21063635297511
847656,-126.25649005587915
847660,-119.75502671606816
847664,-120.30491208415349
847668,-135.24053178372392
847672,-121.30050174051397
847676,-117.18731089298777
847680,-116.81546088977137
847684,-120.65623535500487
847688,-119.72283985359158
847692,-115.08896661818363
847696,-117.55742313144619
847700,-122.44264677489865
847704,-119.95390409103365
847708,-130.44396268767278
847712,-124.34443487863332
847716,-129.87701841138056
847720,-124.48679689694856
847724,-132.50053240957362
847728,-117.22085368021646
847732,-131.1457844936764
847736,-121.1837720279097
847740,-119.8803425713773
847744,-121.90744790968988
847748,-115.87857010648501
847752,-127.63218081075034
847756,-120.47044774423114
847760,-120.35534031903562
847764,-120.9032111098918
847768,-123.38093252966993
847772,-129.9512888836113
847776,-117.86964020644024
847780,-116.22096372199937
847784,-118.97273269132712
847788,-118.66910056320964
847792,-119.49580309626306
847796,-118.34636950245851
847800,-121.05015862993925
847804,-129.12197968689853
847808,-118.013441856275
847812,-127.70457732006918
847816,-121.21637473661994
847820,-120.26244586562606
847824,-122.6046846197477
847828,-119.71199105467284
847832,-116.79191316901861
847836,-116.62901716240751
847840,-114.90034669866637
847844,-122.54102909179696
847848,-119.11370081261536
847852,-115.62311413918889
847856,-119.43479552624149
847860,-124.98847138212497
847864,-122.49317477897308
847868,-118.92994768732981
847872,-130.6554414801314
847876,-119.51876508528338
847880,-119.40687703789575
847884,-120.67188305887042
847888,-122.72046219660581
847892,-119.9802416942197
847896,-132.14339488623327
847900,-123.28127949682838
847904,-118.19293192105314
847908,-126.30946074358845
847912,-118.61130810413957
847916,-113.13337574062476
847920,-118.2314675176396
847924,-114.49187606889262
847928,-115.48184892123223
847932,-115.4210917348868
847936,-126.35545586999605
847940,-120.93623441322094
847944,-117.86197301487624
847948,-130.13432113998272
847952,-121.92555169120868
847956,-112.43876568047754
847960,-126.8920334555495
847964,-127.67919518134445
847968,-126.3776960027938
847972,-124.0171611430652
847976,-122.00011999374202
847980,-121.18002718285896
847984,-115.67654117749593
847988,-123.54657068626933
847992,-119.64284007963256
847996,-120.291720396729
848000,-122.9211650034664
848004,-118.27379810951825
848008,-118.79541505429962
848012,-131.1130045509225
848016,-126.0008239901706
848020,-121.29324585734534
848024,-112.88859234899068
848028,-120.65517649331763
848032,-119.85040522988575
848036,-129.13304009771278
848040,-121.05004754506109
848044,-122.02368421630396
848048,-114.77310636854159
848052,-114.87891102338014
848056,-116.67141836937022
848060,-126.26592091347776
848064,-115.01210048760008
848068,-122.47501864937682
848072,-130.5222589914339
848076,-115.9666807752715
848080,-116.88197597641651
848084,-127.46221938731988
848088,-112.75556236393392
848092,-117.85732347865036
848096,-114.34115234945372
848100,-119.3545497538382
848104,-116.53522047008197
848108,-119.62194890858817
848112,-120.81749418268812
848116,-115.50675497028283
848120,-126.78030845254834
848124,-122.97068877964796
848128,-126.69846148910801
848132,-128.8948117378312
848136,-122.7397420009853
848140,-125.50047595863563
848144,-119.52978774313652
848148,-120.30301076444358
848152,-120.86604523831534
848156,-115.12117631834384
848160,-125.2435454557558
848164,-121.17894483667877
848168,-117.5817936877516
848172,-118.62577925423079
848176,-120.67386814479956
848180,-124.17414634275664
848184,-126.429329043706
848188,-123.32298151745562
848192,-122.53812195359671
848196,-115.31844894249207
848200,-132.2091169233293
848204,-121.08519243101853
848208,-127.3567634679551
848212,-125.27233961949727
848216,-123.16193801097239
848220,-122.69923463383465
848224,-115.97703678280702
848228,-115.17094396206812
848232,-119.11645006334034
848236,-117.02936038711336
848240,-132.09897688750314
848244,-123.81957379668538
848248,-114.54919942002681
848252,-132.78933383149018
848256,-126.76929646535834
848260,-122.43361546662473
848264,-117.27946742103825
848268,-120.3617712491027
848272,-130.40391980660854
848276,-126.53685652905445
848280,-125.09788288625663
848284,-123.22796623317738
848288,-122.479842384535
848292,-125.39098480502727
848296,-125.15362476254867
848300,-115.62871991071518
848304,-120.11610178954305
848308,-115.47741547768767
848312,-132.45074100482594
848316,-116.62888489872111
848320,-118.47269869171205
848324,-120.39866194877806
848328,-122.69072658396237
848332,-120.89161075963005
848336,-117.48772329253498
848340,-122.48413144158229
848344,-114.36878743517053
848348,-119.57787382097342
848352,-120.57404941296043
848356,-116.24765962125785
848360,-115.94135011242197
848364,-126.88946707225386
848368,-114.15401560867802
848372,-127.27474626592767
848376,-117.5796112208402
848380,-119.5420242314797
848384,-124.91390072451199
848388,-120.62836827293074
848392,-120.94743537992962
848396,-117.90558498988749
848400,-119.07451312010889
848404,-119.38213461624593
848408,-118.8211460213541
848412,-117.37181808597657
848416,-125.0664472109365
848420,-119.97187396729936
848424,-114.6444324935934
848428,-123.68853802854056
848432,-119.01865056624857
848436,-117.22747989463029
848440,-124.67723002358812
848444,-119.3115278397685
848448,-128.38042737459529
848452,-123.39901994157893
848456,-119.46198715399466
848460,-125.02897470370736
848464,-122.85568860941748
848468,-115.40047629371182
848472,-132.47937617586547
848476,-119.87422776439112
848480,-127.1671765724781
848484,-120.80464729425482
848488,-125.1079619193776
848492,-122.92385442921062
848496,-122.31721990309948
848500,-114.6005861810387
848504,-117.98486381134403
848508,-119.04524732566888
848512,-113.92904476251587
848516,-115.92208629494914
848520,-120.79286200300916
848524,-117.087201804073
848528,-123.07056117654595
848532,-117.6581932821388
848536,-117.91257926532552
848540,-123.34768254202966
848544,-120.50908157095243
848548,-118.56758277144272
848552,-116.26799713989777
848556,-117.93775920405989
848560,-128.3838716015332
848564,-124.29456401010802
848568,-136.31295375401146
848572,-129.00498063266826
848576,-133.63022821059855
848580,-115.35115729197132
848584,-115.81592872116042
848588,-114.11189743122172
848592,-129.35546833209736
848596,-124.31263234334412
848600,-126.35514492929406
848604,-135.2906242925302
848608,-117.36351238271224
848612,-118.55897684746344
848616,-118.67554401516594
848620,-114.90049337703448
848624,-117.90757153313096
848628,-119.62277806161435
848632,-130.72385925525847
848636,-125.37979334128998
848640,-117.27897253756957
848644,-122.5255136734053
848648,-127.22777669722839
848652,-126.96031819392334
848656,-126.5955121588717
848660,-116.84364010354628
848664,-127.0009027501483
848668,-115.00934794476015
848672,-118.42803614497795
848676,-130.55203652190562
848680,-121.50257594317374
848684,-122.94069205678173
848688,-119.16530959244248
848692,-125.53076542855581
848696,-125.12067165768278
848700,-119.18468879344503
848704,-126.07623841858128
848708,-126.41752300804302
848712,-121.7564778530396
848716,-127.08154576049299
848720,-116.3216008782831
848724,-114.67369107756018
848728,-114.07643637298531
848732,-127.64777276022778
848736,-118.35961751730193
848740,-121.18112623908765
848744,-121.1396809060689
848748,-122.59012281828015
848752,-131.4308315669946
848756,-125.80271079831054
848760,-123.68096019479188
848764,-119.25502555232383
848768,-131.10897003892399
848772,-120.91329780940856
848776,-131.21758034603556
848780,-115.4735876188349
848784,-118.65383780808142
848788,-125.1748504813647
848792,-124.71460755247324
848796,-119.51747515378139
848800,-121.89222905708023
848804,-124.92262716720273
848808,-122.66898195777173
848812,-124.60826073276363
848816,-117.73763745278104
848820,-121.97804094521598
848824,-115.0155369314374
848828,-124.24655786974877
848832,-122.15345533267342
848836,-130.06996405124525
848840,-124.40671948482458
848844,-123.18925602658862
848848,-127.46444720277165
848852,-120.15296849866417
848856,-115.6817558701095
848860,-122.47906385764712
848864,-124.79705779915076
848868,-120.6511287575062
848872,-123.60850545877429
848876,-116.7112355159353
848880,-123.85409612686063
848884,-116.10931843925536
848888,-122.3215724044163
848892,-122.24134933848505
848896,-126.93862992708137
848900,-128.69983452486164
848904,-134.18102729399882
848908,-120.82005616723828
848912,-119.77551522862203
848916,-120.06651939772095
848920,-113.49702613070589
848924,-120.02475647613102
848928,-120.82319132236543
848932,-124.42022406926452
848936,-126.96232373921356
848940,-118.69817716551185
848944,-116.49832969351773
848948,-123.83332880187896
848952,-121.42304294667817
848956,-120.61259242294489
848960,-118.20003601895823
848964,-118.1042326997897
848968,-129.21608767241793
848972,-119.73080214041275
848976,-118.32592057224875
848980,-118.13268245383155
848984,-117.85939706828435
848988,-119.70757199840382
848992,-112.56316567462419
848996,-122.58593702597793
849000,-127.25236030051474
849004,-122.9388027969147
849008,-133.11374198664035
849012,-122.09596789615897
849016,-118.60704443691779
849020,-114.08987393675663
849024,-120.88318022912834
849028,-117.22315122127347
849032,-123.00979863446062
849036,-122.9986962876311
849040,-120.39000219458596
849044,-124.76055705924433
849048,-117.91696279739969
849052,-119.02470847652253
849056,-115.63093852299941
849060,-126.65385659989943
849064,-121.94036282578037
849068,-115.7789737860655
849072,-128.86369698096345
849076,-119.7155931313275
849080,-119.37861156204308
849084,-117.07823067841373
849088,-123.58042591513919
849092,-125.84314181553947
849096,-116.6683219983824
849100,-116.86251733089416
849104,-118.95326072588215
849108,-116.9818480445859
849112,-119.95168723741993
849116,-121.97383126869782
849120,-125.06645041340661
849124,-118.72229249552444
849128,-120.09744406144466
849132,-119.48339897343092
849136,-115.78685212774649
849140,-115.67994197558734
849144,-115.70849817777878
849148,-120.19745008548387
849152,-123.20676172583413
849156,-119.98682973284542
849160,-123.83291249364147
849164,-116.65369977168939
849168,-121.59045596027181
849172,-114.49559413139805
849176,-117.37601647934748
849180,-130.33820058202033
849184,-118.40027005942306
849188,-116.29780096721692
849192,-116.54816920146399
849196,-129.34493085798687
849200,-123.48849298156316
849204,-120.91555983654897
849208,-119.36074991655556
849212,-117.50171101258512
849216,-115.61253768750349
849220,-115.6052008977529
849224,-120.78864752796707
849228,-123.69112109517089
849232,-111.17530541107917
849236,-120.83178954250639
849240,-126.6537088343804
849244,-125.93661628975092
849248,-122.9926567605585
849252,-119.25589695260345
849256,-127.84730165816308
849260,-117.8941076777804
849264,-123.01739168822056
849268,-118.95903327626476
849272,-115.02125009015285
849276,-114.88375892150118
849280,-116.98474344129106
849284,-121.01063586100729
849288,-122.4083006260741
849292,-120.92348555743149
849296,-117.12465427325601
849300,-120.20123901036627
849304,-118.00086691794121
849308,-125.98182456304312
849312,-118.79763610460533
849316,-114.26529136461187
849320,-125.46056121201308
849324,-116.39195061769088
849328,-124.10638031889573
849332,-113.98621200911508
849336,-114.97032781039327
849340,-117.46598057472977
849344,-120.05544719528248
849348,-118.66662411135484
849352,-111.19774850676176
849356,-117.73685701558563
849360,-124.64697908488571
849364,-121.43948049304002
849368,-125.85193342665943
849372,-118.94591604935609
849376,-117.74770564528552
849380,-122.79338773509858
849384,-119.3763373701441
849388,-119.35136458973496
849392,-123.21799516791127
849396,-131.30099701500592
849400,-119.99601754861914
849404,-116.52406222054358
849408,-118.13337138852471
849412,-119.99415889142442
849416,-127.97839217803792
849420,-113.72659862278607
849424,-120.80748088366062
849428,-118.53691241370944
849432,-121.85035293164003
849436,-119.74888795261478
849440,-121.06960168464781
849444,-116.9585505367527
849448,-123.83152969293808
849452,-113.25781973158334
849456,-121.6185922260546
849460,-122.50238264975499
849464,-132.35174806835613
849468,-131.44079881480175
849472,-119.58404665494852
849476,-120.78193256724393
849480,-119.29105580352476
849484,-114.28413342753154
849488,-116.09301972453616
849492,-120.30730966758806
849496,-117.5583276165769
849500,-133.39552918285398
849504,-127.0718062850045
849508,-121.26726762568157
849512,-120.37509228367372
849516,-112.6404485886312
849520,-119.65356498221952
849524,-128.69085422705453
849528,-114.82489280501369
849532,-122.24738746203965
849536,-128.8393995268538
849540,-125.9933589603734
849544,-128.1876219110556
849548,-121.07044738877508
849552,-118.56147797048003
849556,-120.24319797592977
849560,-123.98384055848305
849564,-122.66401886216994
849568,-121.0866384800598
849572,-135.88610320815332
849576,-118.2693997164042
849580,-113.11846997428465
849584,-118.94138211310116
849588,-132.31296612145084
849592,-122.65096986925366
849596,-121.63821943061424
849600,-120.91418635342117
849604,-128.82792876156213
849608,-118.24198436302777
849612,-117.88372008082067
849616,-127.18911607526428
849620,-119.32646216437759
849624,-123.31431549319052
849628,-120.83341810621059
849632,-114.36766943290644
849636,-121.6346574349468
849640,-113.57309558697276
849644,-122.90087187513163
849648,-123.34035346276276
849652,-122.35878607262185
849656,-116.847539526955
849660,-123.62729445558827
849664,-117.25870838288557
849668,-115.5821769546867
849672,-117.05028600633875
849676,-126.84481045515955
849680,-126.26701168114178
849684,-117.24519119237294
849688,-121.72546620456794
849692,-125.64081370619309
849696,-117.75616690597003
849700,-122.45278517108248
849704,-115.51917952763442
849708,-133.25129792356867
849712,-117.44806388591321
849716,-122.25432412615318
849720,-132.19770533316247
849724,-118.16169665138213
849728,-121.25013865990303
849732,-119.77816985021697
849736,-119.22016609501324
849740,-111.57467214731298
849744,-129.43476051011098
849748,-122.54848492247487
849752,-113.09299927836511
849756,-124.79792285758039
849760,-122.8664519673422
849764,-132.9899141369362
849768,-118.31738077877453
849772,-120.51542116594513
849776,-121.36698157956377
849780,-117.38488495112612
849784,-119.53602488286012
849788,-120.38695818281818
849792,-119.63575007234269
849796,-121.52479746785295
849800,-128.22132542057167
849804,-122.12149558650108
849808,-128.70454989442862
849812,-129.87425186523885
849816,-116.25057201512969
849820,-115.5474481932168
849824,-126.24343405687895
849828,-120.15716989506129
849832,-117.94939051225006
849836,-123.4014609421418
849840,-121.58941790858174
849844,-114.39138620030475
849848,-123.23935907661533
849852,-121.68849278135973
849856,-126.54199005928382
849860,-118.20468226773545
849864,-128.50612539741113
849868,-123.43653678946215
849872,-117.77875717913214
849876,-123.91594625595332
849880,-125.55701048369487
849884,-128.01554338618917
849888,-116.78301323434843
849892,-119.13184933134207
849896,-116.12187589539356
849900,-121.85252558737663
849904,-121.6716992253689
849908,-119.0854484670071
849912,-124.82601464659925
849916,-121.80430660415182
849920,-122.84714069638189
849924,-121.34480319194606
849928,-116.91093141164149
849932,-118.45619795217772
849936,-118.97453296427413
849940,-117.89704064988496
849944,-119.94286575071386
849948,-118.75848052619396
849952,-123.20220222506154
849956,-122.2133094025935
849960,-123.42966704602009
849964,-119.71063919612438
849968,-131.37220956003208
849972,-129.5568321046692
849976,-126.85965673574984
849980,-126.90040801509909
849984,-124.99306036413596
849988,-123.71815231961273
849992,-116.37311293481885
849996,-117.14644571802503
850000,-126.41833287060368
850004,-115.74163953343749
850008,-117.35580688020036
850012,-122.09000928774753
850016,-117.29146164112268
850020,-125.09028153109413
850024,-122.11487157038061
850028,-121.36070855676967
850032,-121.57965129355208
850036,-113.0597945260507
850040,-119.34549588637631
850044,-119.50704267728614
850048,-123.69402570355699
850052,-120.36896745025213
850056,-116.47150487739054
850060,-127.64332339724288
850064,-126.56059504386914
850068,-116.29407443690093
850072,-117.9070980271114
850076,-118.15477098501964
850080,-123.85290356267083
850084,-121.51973301739186
850088,-124.34094565780889
850092,-117.95975437800121
850096,-121.32760174641393
850100,-120.49021485506071
850104,-127.89272634391993
850108,-125.1925676401527
850112,-127.53721719787312
850116,-113.95221927453126
850120,-123.83504210115385
850124,-127.14424082683604
850128,-125.68508683070137
850132,-115.92157293581761
850136,-119.2717411327319
850140,-120.11854361692691
850144,-133.49079451452263
850148,-131.9791933512921
850152,-135.78043902717286
850156,-122.22352154365768
850160,-123.6428638625413
850164,-132.992904137482
850168,-120.87182027392423
850172,-117.18640615720432
850176,-130.91561262462983
850180,-120.79436146105702
850184,-121.54357460929648
850188,-118.33136940842385
850192,-115.93430116837698
850196,-119.59528240848348
850200,-117.78740259534223
850204,-115.85879110482315
850208,-127.39307442230194
850212,-126.99309989891597
850216,-116.66412020225684
850220,-124.76376428399365
850224,-119.68857569038948
850228,-120.78813377428139
850232,-114.36526650004842
850236,-127.28513758344995
850240,-123.43690729584347
850244,-119.63334152763956
850248,-120.06809032011921
850252,-115.54671132867713
850256,-119.89336929997731
850260,-117.67434291179683
850264,-121.91837345723428
850268,-124.8361551133531
850272,-125.53268686698782
850276,-122.4567535077505
850280,-118.03876351538713
850284,-117.92154043301255
850288,-122.04125881807047
850292,-126.87242986001748
850296,-120.10323340366388
850300,-127.08944523989902
850304,-124.59402852843988
850308,-118.67650090417922
850312,-117.21664176412818
850316,-116.06159789263677
850320,-115.62495498761471
850324,-118.87619117377216
850328,-120.69490287549966
850332,-119.45907512827073
850336,-123.6282273903906
850340,-120.12351339298482
850344,-120.70994781984672
850348,-114.8573434878007
850352,-115.77739873817049
850356,-122.08531060297335
850360,-121.81580056218567
850364,-119.79388091220459
850368,-117.52702015031039
850372,-120.23495242807137
850376,-123.01137375432347
850380,-127.80853991910293
850384,-122.07405343393106
850388,-127.14132347201686
850392,-119.19996288922162
850396,-113.33949227226739
850400,-128.50884443452236
850404,-118.43439539566542
850408,-119.64751171869196
850412,-123.89595186595827
850416,-123.14423445142734
850420,-115.80277102791247
850424,-124.02899208795952
850428,-119.52542561869869
850432,-124.66572534082741
850436,-116.93264820948932
850440,-123.31944606105554
850444,-120.75750613201302
850448,-129.76044592404386
850452,-115.83919996288085
850456,-126.82373940245547
850460,-121.17975493849521
850464,-117.80288313310858
850468,-122.67644364556566
850472,-116.6034201747059
850476,-117.78002299350732
850480,-118.99693101944645
850484,-116.270929443996
850488,-121.44271134912945
850492,-130.8120029680779
850496,-117.16771182452807
850500,-119.71871856882231
850504,-127.83247515739485
850508,-128.18089883267683
850512,-126.8311063993599
850516,-116.60786307509201
850520,-118.15406366597074
850524,-120.57738813504025
850528,-129.17871420379
850532,-130.68137588883127
850536,-129.1065414206156
850540,-120.26609937764326
850544,-120.27572535369151
850548,-121.64695297054956
850552,-122.3521031006526
850556,-117.21831409602684
850560,-118.15355908874304
850564,-116.81310263159996
850568,-123.6795176949231
850572,-124.68740204084465
850576,-125.89424031345226
850580,-124.71166091449041
850584,-121.63580314772656
850588,-132.229128812162
850592,-124.29111133249862
850596,-122.09450603384693
850600,-116.59094256605648
850604,-128.7088739800841
850608,-125.59828472732052
850612,-117.90604924034442
850616,-127.73343026450156
850620,-130.37055809561573
850624,-119.3393598836342
850628,-131.31563203080287
850632,-123.77212160860509
850636,-128.2638031990401
850640,-116.3200414342187
850644,-124.2313106023155
850648,-121.30948566134234
850652,-113.48682963545824
850656,-114.4628066136158
850660,-114.54187256556807
850664,-126.74932619395071
850668,-119.35613611497403
850672,-111.84078167931196
850676,-120.16313833858342
850680,-118.02871838373144
850684,-116.20169297497448
850688,-127.52999253226776
850692,-113.38947749219965
850696,-113.91492511526559
850700,-119.31755511731629
850704,-120.0191746024751
850708,-125.31646142465699
850712,-126.90659200205204
850716,-116.8781472603115
850720,-130.63295269200003
850724,-130.7558813846291
850728,-129.6000999571731
850732,-120.76160648616153
850736,-124.80279127335552
850740,-117.07443000335887
850744,-131.64169925210098
850748,-130.2124359584898
850752,-117.75987255738016
850756,-117.76984119631653
850760,-122.38833994618406
850764,-121.3866845779696
850768,-119.0986718618682
850772,-117.21350076148033
850776,-118.94957048190952
850780,-114.73477890049986
850784,-113.30040630758351
850788,-117.16020384017581
850792,-121.77832276327757
850796,-113.13239833429765
850800,-132.15447718315414
850804,-118.34880912218456
850808,-132.54599897122938
850812,-117.55386143632269
850816,-118.54696905322675
850820,-113.59545540797126
850824,-118.08465390491378
850828,-118.90505214467808
850832,-125.64617956302901
850836,-124.16959289483947
850840,-125.90395678442256
850844,-125.15769300571922
850848,-126.08905800593578
850852,-123.57118425639183
850856,-125.51045998656437
850860,-131.18430200409873
850864,-126.78774771048174
850868,-133.08394322261603
850872,-118.94937763742956
850876,-127.42605329728461
850880,-120.68111034587555
850884,-121.93288705056287
850888,-118.28277376475293
850892,-114.80354589512487
850896,-120.29045438375798
850900,-116.01943665551376
850904,-127.25402000827461
850908,-123.37402703946812
850912,-120.80676389919878
850916,-124.75102025413739
850920,-125.35623945243721
850924,-128.11718536628234
850928,-114.52735373973893
850932,-125.56852946565456
850936,-125.68358544953301
850940,-123.15130291125111
850944,-112.29560551305777
850948,-116.05737256564976
850952,-127.97470362042523
850956,-118.02968674833559
850960,-122.64731790817251
850964,-130.17364111783277
850968,-114.9594384030787
850972,-123.71744898245822
850976,-119.841006666273
850980,-124.9596834429932
850984,-121.30742497192995
850988,-125.37205417036857
850992,-116.83090907522651
850996,-124.74827996016354
851000,-123.80724547176844
851004,-121.82249774156487
851008,-122.6134399064404
851012,-116.13634487789946
851016,-120.06125717692746
851020,-122.79833469941941
851024,-128.82919125357336
851028,-116.90957609391151
851032,-122.78527013534436
851036,-117.95375456695206
851040,-118.1100016016463
851044,-120.58958736718617
851048,-130.55180676891257
851052,-120.36154478026833
851056,-129.9860042726732
851060,-123.46926664319025
851064,-115.94890489174138
851068,-115.11642414761026
851072,-117.5353347373563
851076,-127.25628607470797
851080,-129.79076839182216
851084,-119.61472891559157
851088,-119.4265941002759
851092,-120.53324131328644
851096,-125.49195251218545
851100,-122.26124694529551
851104,-128.37956869265065
851108,-127.52821457330984
851112,-130.71374407349057
851116,-122.6514482275577
851120,-122.75032195445714
851124,-117.52160724990196
851128,-114.32274144314714
851132,-135.36431464781364
851136,-118.29552416764533
851140,-129.68410248746986
851144,-118.99317081307149
851148,-112.3182611149547
851152,-119.74776679631671
851156,-119.40621260805275
851160,-118.31312301859674
851164,-124.17141570139388
851168,-122.94769474784806
851172,-121.46224603801542
851176,-113.95583746093192
851180,-117.36948826411631
851184,-115.32292285987427
851188,-114.76346514158585
851192,-117.85991812004896
851196,-122.02516015338975
851200,-117.9131666930218
851204,-122.99167718254496
851208,-117.63987835499397
851212,-117.37205437261953
851216,-114.05022437302755
851220,-118.32382473933188
851224,-120.75941640781299
851228,-121.05287741169059
851232,-120.77087801833541
851236,-117.34208121499978
851240,-128.2133305715464
851244,-124.81855945704964
851248,-126.06785082884812
851252,-114.29947147193289
851256,-126.24994804876526
851260,-116.6959268716074
851264,-119.35848162913504
851268,-128.81558878422513
851272,-118.80567884784413
851276,-121.99408635520513
851280,-123.38077611579929
851284,-122.81217089088675
851288,-114.29118642360503
851292,-119.85631975470201
851296,-117.63268815601923
851300,-124.56612776356468
851304,-120.30713506053345
